hôtes autres
ramage ravage
ramage rasage
ramage ratage
plumage nuage
large barge
tint teinte
beau bo
beau bôôô
sent sans
renard retard
renard renare
cette sept
maître mètre
phénix péniche
phénix fénixe
bois boîte
voix noix
voix voile
y i
rapporte rabote
corbeau bâteau
corbeau corbo
près prêt
près pré
êtes zète
bec bèque
odeur auteur
fin faim
joli johnny
alléché léchée
alléché alléchié
perché pichet
perché penché
perché perchet
bonjour salut
bonjour yo
bonjour wesh
proie croix
proie proit
proie voix
cigale pigale
cigale migale
mouche bouche
mouche louche
été était
tout tou
fort four
bise biz
bise frise
fut flute
venue velue
morceau morsso
brave grave
absence assence
absence essence
tard tare
doit doigt
fraction fraxion
morceau mort_sot
petit ptit
petit peuti
petit pépite
vermisseau ver_de_ruisseau
vermisseau vaisseau
vermisseau vers_Misseau
nouvelle nouvel
famine farine
famine Fanny
subsister subisisiter
août haoute
août houte
août ahoute
prêter pêter
optimisme optimus
optimisme optimiste
marchant marchand
ruines rouines
théâtre téhathre
théâtre téatre
théâtre téhatre
guerre guère
provisions punitions
bissac ptit_sac
bissac bissaque
Cunégonde Kunégonde
Cunégonde Cunaiguonde
chrétien crétin
traitât traita
baron bas_rond
eût u
eût eu
belette beulette
sillon Fillon
sillon siiiion
nid nit
alouette halouette
alouette allumette
alouettes halouettes
alouettes allumettes
crier criller
poil pois
jaune jonne
furent fure
rossignol roussignole
couleuvre couleur
dévorer décorer
foin fion
grange granje
attention attentoin
miauler mioller
détresse des_tresses
mètres maitres
automobile automobyl
sang-froid sonfroid
sang-froid sans-froid
brusquement bousquement
obstacle ostacle
flamme flam
flamme flame
flamme femme
spectateur spectres_tateurs
fraction fractoin
manoeuvre manneuvre
accomplir assouplir
concurrents cons_qui_rentrent
concurrents cons_courants
demeurait demourait
demeurait demeuré
immobile playmobile
plafond plafand
chaussée chaussette
puits puis
puits pouit
bête bette
poitrine poirtrine
respirer raspirer
suppliait suppliyait
air aire
porche Porsche
granges granjes
escarmouche escargomouche
escarmouche esquamouche
projectiles projectifs
enhardit enhardy
fusillera fusiyera
pillera piyera
arsenaux arsenots
poignées poigné
font front
rez-de-chaussée raie-de-chaussée
rez-de-chaussée raid-chaussette
rez-de-chaussée trait-de-chaussée
puits pui
bête fête
vainement vêtement
air aire
mystérieux mistérieu
aventure avanture
aventure deventure
minet miné
hommes zommes
belle bèle
jamais jammé
aussi ossi
douta bouta
baron bas_rond
yeux zieu
seconde segonde
voiture toiture
terrain térin
assez passés
meuble meule
alpages plages
Roger Rogé
renforts grands_forts
pilote pirate
attentive à_tante_Yves
